DNA-26519-CG001Qv51Run064-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:75577 0.03651
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.54	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.1	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.38	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.41	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.42	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.73	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.13	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.72	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.8	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.70	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.103	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.106	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.125	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.83	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.40	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.41	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.43	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.44	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.57	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.62	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.43	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.46	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.23	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.37	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.81	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.48	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.18	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.53	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.94	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.9	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.132	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.143	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.53	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.33	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.49	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.51	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.55	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.57	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.69	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.71	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.73	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.76	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.77	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.79	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.80	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.101	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.83	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.84	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.87	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.89	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.91	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.92	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.95	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.98	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.100	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.61	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.64	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.67	ratio of unmerged reads:1.0
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.2	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.58	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.64	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.132	no read
DNA-27985-CG001Qv51Run064-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:70588 0.03706
DNA-27985-CG001Qv51Run064-11_S11.CG001v5.0.76	nb/ratio of ambiguous positions:31518 0.03115
DNA-27985-CG001Qv51Run064-11_S11.CG001v5.0.91	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.127b	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.7	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.2	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.42	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.22	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.25	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.4	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.25	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.111	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.110	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.39	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.108	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.96	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.5	ratio of unmerged reads:1.0
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.14	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.15	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.138	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.6	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.8	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.9	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.12	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.18	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.19	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.55	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.58	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.1	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.38	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.41	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.42	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.73	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.13	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.72	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.11	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.8	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.70	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.103	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.106	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.83	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.37	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.40	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.41	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.43	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.57	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.62	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.43	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.46	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.23	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.37	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.81	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.48	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.18	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.94	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.9	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.132	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.143	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.53	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.33	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.49	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.51	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.55	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.69	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.71	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.73	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.76	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.77	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.79	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.80	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.101	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.83	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.87	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.89	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.91	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.92	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.95	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.98	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.100	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.61	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.64	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.67	ratio of unmerged reads:1.0
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.2	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.58	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.31	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v3.4.64	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v4.0.36	no read
DNA-27985-CG001Qv51Run064-5_S5.CG001v5.0.132	no read
DNA-27986-CG001Qv51Run064-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:68593 0.03657
DNA-27986-CG001Qv51Run064-12_S12.CG001v5.0.76	nb/ratio of ambiguous positions:33831 0.03145
DNA-27986-CG001Qv51Run064-12_S12.CG001v5.0.91	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.127b	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.7	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.2	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.42	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.22	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.25	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.4	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.25	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.111	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.39	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.108	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.96	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.5	ratio of unmerged reads:1.0
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.122	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.14	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.15	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.8	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.9	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.12	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.14	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.18	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.19	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.58	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.1	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.38	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.41	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.42	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.74	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.13	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.72	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.11	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.8	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.70	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.103	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.106	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.125	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.83	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:12 0.0438
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.41	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.43	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.44	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.57	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.62	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.43	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.46	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.23	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.37	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.81	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.48	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.18	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.53	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.94	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.9	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.132	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.143	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.53	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.33	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.49	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.51	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.55	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.57	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.69	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.71	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.73	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.76	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.77	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.79	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.80	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.101	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.87	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.89	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.91	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.92	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.95	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.98	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.100	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.61	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.64	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.67	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.2	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.58	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.31	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v3.4.64	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v4.0.36	no read
DNA-27986-CG001Qv51Run064-6_S6.CG001v5.0.132	no read
DNA-27987-CG001Qv51Run064-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:87223 0.03732
DNA-27987-CG001Qv51Run064-13_S13.CG001v5.0.76	nb/ratio of ambiguous positions:42503 0.03117
DNA-27987-CG001Qv51Run064-13_S13.CG001v5.0.91	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.127b	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.2	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.42	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.22	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.25	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.4	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.25	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.111	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.110	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.39	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.108	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.5	ratio of unmerged reads:1.0
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.122	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.14	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.15	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.6	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.8	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.9	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.12	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.14	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.18	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.19	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.55	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.58	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.54	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.1	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.38	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.41	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.42	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.74	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.73	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.13	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.11	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.70	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.103	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.106	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.125	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.83	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.37	ratio of unmerged reads:0.33
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.40	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.41	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.43	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.57	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.62	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.43	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.46	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.23	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.37	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.81	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.94	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.9	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.132	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v4.0.53	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.33	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.49	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.51	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.55	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.57	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.69	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.71	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.73	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.76	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.77	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.79	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.80	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.101	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.83	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.84	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.87	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.89	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.91	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.92	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.98	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.100	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.61	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.64	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.67	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.58	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v3.4.64	no read
DNA-27987-CG001Qv51Run064-7_S7.CG001v5.0.132	no read
DNA-27988-CG001Qv51Run064-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:75769 0.03635
DNA-27988-CG001Qv51Run064-14_S14.CG001v5.0.76	nb/ratio of ambiguous positions:33358 0.03155
DNA-27988-CG001Qv51Run064-14_S14.CG001v5.0.91	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.127b	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.7	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.2	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.42	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.22	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.25	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.25	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.111	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.110	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.39	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.108	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.96	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.5	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.122	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.14	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.15	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.138	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.6	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.8	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.9	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.12	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.14	ratio of unmerged reads:0.11
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.18	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.19	no read
